采购单号,采购单价,采购数量,运费
ABD003123,40.3,30,0
ABD003124,55,20,0
ABD003125,55,50,75
ABD003129,14,30,73.5
ABD003130,14,5,0
ABD003131,45,50,25
ABD003132,46,50,0
ABD003133,300,5,0
ABD003134,8.8,5,10
ABD003135,41.5,5,0
ABD003136,41.5,139,280
ABD003137,18.5,50,68
ABD003138,18.5,20,0
ABD003141,15,40,0
ABD003142,15,50,0
ABD003143,15,50,195
ABD003143,15,50,0
ABD003145,42,40,100
ABD003147,31,20,50
ABD003148,32,20,60
ABD003149,10.5,10,8
ABD003153,75,90,80
ABD003157,23.9,450,530
ABD003158,23.9,20,0
ABD003158,59.7,20,0
ABD003158,19.9,20,0
ABD003159,65,60,0
ABD003160,150,45,0
ABD003162,55,110,372
ABD003162,46,60,0
ABD003162,26.5,50,0
ABD003162,34,5,0
ABD003162,55,110,372
ABD003162,46,60,0
ABD003162,26.5,50,0
ABD003162,34,5,0
ABD003162,55,110,0
ABD003162,46,60,0
ABD003162,26.5,50,0
ABD003162,34,5,0
ABD003165,40,200,105
ABD003166,6.6,50,0
ABD003167,33,60,0
ABD003167,40,80,0
ABD003176,35,30,0
ABD003176,35,100,0
ABD003176,35,10,0
ABD003177,35,35,0
ABD003177,35,170,0
ABD003177,35,70,0
ABD003178,21,30,0
ABD003178,21,70,0
ABD003179,35,30,0
ABD003179,35,15,0
ABD003180,32,24,135
ABD003180,32,24,0
ABD003180,32,24,0
ABD003181,29,20,20
ABD003182,13.5,15,0
ABD003182,13.5,10,0
ABD003183,45,300,300
ABD003184,20.5,200,192
ABD003185,38,80,0
ABD003185,38,140,0
ABD003187,24.5,10,9
ABD003188,24.5,10,109
ABD003188,24.5,110,0
ABD003189,24.5,70,63
ABD003192,12,100,0
ABD003193,24,20,0
ABD003195,55,20,70
ABD003201,132,20,60
ABD003202,132,200,600
ABD003203,67,30,0
ABD003204,67,5,60
ABD003222,51.5,20,0
ABD003223,34,80,160
ABD003224,11,20,19
ABD003226,11,25,5
ABD003227,14,30,0
ABD003228,6.4,10,134
ABD003228,6.4,15,0
ABD003229,38,60,115
ABD003232,29,30,120
ABD003233,65,30,0
ABD003234,15,100,367.5
ABD003234,24,150,0
ABD003235,23,25,0
ABD003236,165,125,0
ABD003238,34,20,0
ABD003238,27,20,0
ABD003238,34,20,0
ABD003238,27,20,0
ABD003239,27,30,227
ABD003239,27,30,0
ABD003243,55,20,39
ABD003244,105,200,0
ABD003245,105,45,0
ABD003247,132,5,0
ABD003248,158,5,34
ABD003249,26,150,175
ABD003250,28,50,65
ABD003251,100,15,0
ABD003252,92,10,0
ABD003254,40.5,10,15
ABD003255,16,20,15
ABD003256,21,240,148
ABD003257,75,30,0
ABD003258,48,60,350
ABD003259,48,20,0
ABD003260,48,70,0
ABD003266,32.8,30,25
ABD003267,21.5,120,230
ABD003269,13.05,20,8
ABD003270,17,20,10
ABD003271,64,10,32
ABD003278,26.5,300,307
ABD003280,42,100,0
ABD003280,42,115,0
ABD003284,70,20,20
ABD003285,32.5,122,0
ABD003286,37,110,100
ABD003286,34,30,0
ABD003287,42,120,120
ABD003288,23,40,0
ABD003289,23,15,0
ABD003290,3.9,7,0
ABD003291,39,140,150
ABD003292,3.9,3,7
ABD003293,42,100,140
ABD003294,6,10,0
ABD003294,5.4,7,0
ABD003295,5.4,3,11
ABD003298,110,20,13
ABD003299,110,10,0
ABD003301,42,120,0
ABD003304,43,60,0
ABD003305,43,10,180
ABD003306,28.5,30,35
ABD003312,50,70,0
ABD003319,60,10,25
ABD003320,60,10,0
ABD003321,30,10,0
ABD003321,30,10,0
ABD003321,30,10,0
ABD003322,30,10,0
ABD003322,30,10,0
ABD003322,30,10,0
ABD003323,125,20,0
ABD003324,42,60,0
ABD003324,42,60,0
ABD003326,187,30,100
ABD003328,40,520,0
ABD003329,40,40,160
ABD003331,21,50,288
ABD003331,21,70,0
ABD003332,9.5,100,50
ABD003335,110,80,360
ABD003339,19.8,20,0
ABD003339,19.8,20,0
ABD003340,19.8,10,0
ABD003340,19.8,10,0
ABD003341,75,30,0
ABD003342,75,10,20
ABD003344,46.5,24,40
ABD003345,25,80,0
ABD003346,25,180,0
ABD003349,45,30,210
ABD003350,33,160,0
ABD003350,30,30,0
ABD003351,33,65,351
ABD003351,30,15,0
ABD003352,7,40,61
ABD003353,7,20,0
ABD003355,2.7,7,0
ABD003355,2.7,10,0
ABD003355,2.7,10,0
ABD003355,2.7,7,0
ABD003355,2.7,15,0
ABD003355,22,30,0
ABD003356,2.7,3,40
ABD003356,2.7,3,0
ABD003358,13.5,60,68
ABD003359,13.5,20,0
ABD003364,45,50,300
ABD003365,22.5,100,330
ABD003367,77,20,0
ABD003368,13.5,10,11.6
ABD003369,28.5,20,20
ABD003370,162,20,50
ABD003371,13.5,20,15
ABD003372,162,10,30
ABD003373,28.5,20,40
ABD003373,28.5,20,0
